A,Z,N,element,target,sigma
1,0,1,n,0,0.1
1,1,0,H,1,0.1
2,1,1,H,1,0.1
3,1,2,H,1,0.1
3,2,1,He,2,0.1
4,2,2,He,2,0.1
4,1,3,H,1,0.1
4,3,1,Li,3,0.1
5,1,4,H,1,0.1
5,2,3,He,2,0.1
5,3,2,Li,3,0.1
6,3,3,Li,3,0.1
6,2,4,He,2,0.1
6,1,5,H,1,0.1
6,4,2,Be,4,0.1
7,4,3,Be,4,0.1
7,3,4,Li,3,0.1
7,2,5,He,2,0.1
7,5,2,B,5,0.1
8,2,6,He,2,0.1
8,6,2,C,6,0.1
8,4,4,Be,4,0.1
8,3,5,Li,3,0.1
8,5,3,B,5,0.1
9,4,5,Be,4,0.1
9,3,6,Li,3,0.1
9,5,4,B,5,0.1
9,6,3,C,6,0.1
9,2,7,He,2,0.1
10,2,8,He,2,0.1
10,3,7,Li,3,0.1
10,7,3,N,7,0.1
10,6,4,C,6,0.1
10,4,6,Be,4,0.1
10,5,5,B,5,0.1
11,8,3,O,8,0.1
11,7,4,N,7,0.1
11,5,6,B,5,0.1
11,4,7,Be,4,0.1
11,6,5,C,6,0.1
11,3,8,Li,3,0.1
12,8,4,O,8,0.1
12,4,8,Be,4,0.1
12,3,9,Li,3,0.1
12,7,5,N,7,0.1
12,6,6,C,6,0.1
12,5,7,B,5,0.1
13,7,6,N,7,0.1
13,3,10,Li,3,0.1
13,4,9,Be,4,0.1
13,5,8,B,5,0.1
13,8,5,O,8,0.1
13,6,7,C,6,0.1
14,7,7,N,7,0.1
14,5,9,B,5,0.1
14,6,8,C,6,0.1
14,8,6,O,8,0.1
14,9,5,F,9,0.1
14,4,10,Be,4,0.1
15,9,6,F,9,0.1
15,6,9,C,6,0.1
15,7,8,N,7,0.1
15,8,7,O,8,0.1
15,5,10,B,5,0.1
15,10,5,Ne,10,0.1
15,4,11,Be,4,0.1
16,10,6,Ne,10,0.1
16,4,12,Be,4,0.1
16,5,11,B,5,0.1
16,8,8,O,8,0.1
16,9,7,F,9,0.1
16,6,10,C,6,0.1
16,7,9,N,7,0.1
17,6,11,C  2,6,0.1
17,5,12,B,5,0.1
17,11,6,Na,11,0.1
17,9,8,F,9,0.1
17,10,7,Ne,10,0.1
17,7,10,N,7,0.1
17,8,9,O,8,0.1
18,5,13,B,5,0.1
18,7,11,N,7,0.1
18,6,12,C,6,0.1
18,9,9,F,9,0.1
18,10,8,Ne,10,0.1
18,11,7,Na,11,0.1
18,8,10,O,8,0.1
19,5,14,B,5,0.1
19,6,13,C,6,0.1
19,8,11,O,8,0.1
19,7,12,N  p,7,0.1
19,9,10,F,9,0.1
19,12,7,Mg,12,0.1
19,11,8,Na,11,0.1
19,10,9,Ne,10,0.1
20,7,13,N,7,0.1
20,8,12,O,8,0.1
20,6,14,C,6,0.1
20,5,15,B,5,0.1
20,12,8,Mg,12,0.1
20,11,9,Na,11,0.1
20,10,10,Ne,10,0.1
20,9,11,F,9,0.1
21,7,14,N,7,0.1
21,8,13,O,8,0.1
21,9,12,F,9,0.1
21,10,11,Ne,10,0.1
21,11,10,Na,11,0.1
21,12,9,Mg,12,0.1
21,5,16,B,5,0.1
22,6,16,C,6,0.1
22,7,15,N,7,0.1
22,8,14,O,8,0.1
22,9,13,F,9,0.1
22,12,10,Mg,12,0.1
22,10,12,Ne,10,0.1
22,11,11,Na,11,0.1
23,9,14,F,9,0.1
23,13,10,Al,13,0.1
23,12,11,Mg,12,0.1
23,11,12,Na,11,0.1
23,10,13,Ne,10,0.1
23,8,15,O,8,0.1
23,7,16,N,7,0.1
24,10,14,Ne,10,0.1
24,8,16,O,8,0.1
24,14,10,Si,14,0.1
24,11,13,Na,11,0.1
24,12,12,Mg,12,0.1
24,13,11,Al,13,0.1
24,9,15,F,9,0.1
25,12,13,Mg,12,0.1
25,13,12,Al,13,0.1
25,9,16,F,9,0.1
25,14,11,Si,14,0.1
25,8,17,O,8,0.1
25,11,14,Na,11,0.1
25,10,15,Ne,10,0.1
26,14,12,Si,14,0.1
26,13,13,Al,13,0.1
26,11,15,Na,11,0.1
26,10,16,Ne,10,0.1
26,9,17,F,9,0.1
26,12,14,Mg,12,0.1
26,8,18,O,8,0.1
27,13,14,Al,13,0.1
27,14,13,Si,14,0.1
27,10,17,Ne,10,0.1
27,9,18,F,9,0.1
27,11,16,Na,11,0.1
27,12,15,Mg,12,0.1
27,15,12,P,15,0.1
28,14,14,Si,14,0.1
28,15,13,P,15,0.1
28,16,12,S,16,0.1
28,9,19,F,9,0.1
28,10,18,Ne,10,0.1
28,11,17,Na,11,0.1
28,12,16,Mg,12,0.1
28,13,15,Al,13,0.1
29,11,18,Na,11,0.1
29,12,17,Mg,12,0.1
29,13,16,Al,13,0.1
29,14,15,Si,14,0.1
29,10,19,Ne,10,0.1
29,9,20,F,9,0.1
29,15,14,P,15,0.1
29,16,13,S,16,0.1
30,11,19,Na,11,0.1
30,10,20,Ne,10,0.1
30,12,18,Mg,12,0.1
30,13,17,Al,13,0.1
30,16,14,S,16,0.1
30,17,13,Cl,17,0.1
30,14,16,Si,14,0.1
30,15,15,P,15,0.1
31,10,21,Ne,10,0.1
31,11,20,Na,11,0.1
31,12,19,Mg,12,0.1
31,13,18,Al,13,0.1
31,14,17,Si,14,0.1
31,15,16,P,15,0.1
31,16,15,S,16,0.1
31,17,14,Cl,17,0.1
32,11,21,Na,11,0.1
32,12,20,Mg,12,0.1
32,13,19,Al,13,0.1
32,14,18,Si,14,0.1
32,15,17,P,15,0.1
32,16,16,S,16,0.1
32,17,15,Cl,17,0.1
32,18,14,Ar,18,0.1
33,18,15,Ar,18,0.1
33,17,16,Cl,17,0.1
33,16,17,S,16,0.1
33,15,18,P,15,0.1
33,14,19,Si,14,0.1
33,13,20,Al,13,0.1
33,12,21,Mg,12,0.1
33,11,22,Na,11,0.1
34,18,16,Ar,18,0.1
34,17,17,Cl,17,0.1
34,16,18,S,16,0.1
34,15,19,P,15,0.1
34,14,20,Si,14,0.1
34,13,21,Al,13,0.1
34,12,22,Mg,12,0.1
34,11,23,Na,11,0.1
35,12,23,Mg,12,0.1
35,13,22,Al,13,0.1
35,14,21,Si 2,14,0.1
35,15,20,P,15,0.1
35,16,19,S,16,0.1
35,17,18,Cl,17,0.1
35,18,17,Ar,18,0.1
35,19,16,K,19,0.1
36,14,22,Si,14,0.1
36,15,21,P,15,0.1
36,16,20,S,16,0.1
36,17,19,Cl,17,0.1
36,18,18,Ar,18,0.1
36,19,17,K,19,0.1
36,20,16,Ca,20,0.1
36,12,24,Mg,12,0.1
36,13,23,Al,13,0.1
37,12,25,Mg,12,0.1
37,13,24,Al,13,0.1
37,14,23,Si,14,0.1
37,15,22,P  p,15,0.1
37,16,21,S,16,0.1
37,17,20,Cl,17,0.1
37,18,19,Ar,18,0.1
37,19,18,K,19,0.1
37,20,17,Ca,20,0.1
38,14,24,Si,14,0.1
38,15,23,P,15,0.1
38,16,22,S,16,0.1
38,17,21,Cl,17,0.1
38,18,20,Ar,18,0.1
38,19,19,K,19,0.1
38,20,18,Ca,20,0.1
39,14,25,Si,14,0.1
39,15,24,P,15,0.1
39,16,23,S  2,16,0.1
39,17,22,Cl,17,0.1
39,18,21,Ar,18,0.1
39,19,20,K,19,0.1
39,20,19,Ca,20,0.1
39,21,18,Sc 2,21,0.1
40,14,26,Si,14,0.1
40,15,25,P,15,0.1
40,16,24,S,16,0.1
40,17,23,Cl,17,0.1
40,18,22,Ar,18,0.1
40,19,21,K,19,0.1
40,20,20,Ca,20,0.1
40,21,19,Sc,21,0.1
40,22,18,Ti,22,0.1
41,15,26,P,15,0.1
41,16,25,S,16,0.1
41,17,24,Cl,17,0.1
41,18,23,Ar,18,0.1
41,19,22,K,19,0.1
41,20,21,Ca,20,0.1
41,21,20,Sc,21,0.1
41,22,19,Ti,22,0.1
42,22,20,Ti,22,0.1
42,20,22,Ca,20,0.1
42,19,23,K,19,0.1
42,18,24,Ar,18,0.1
42,15,27,P,15,0.1
42,16,26,S,16,0.1
42,17,25,Cl,17,0.1
42,21,21,Sc,21,0.1
43,22,21,Ti,22,0.1
43,20,23,Ca,20,0.1
43,23,20,V,23,0.1
43,21,22,Sc,21,0.1
43,16,27,S,16,0.1
43,17,26,Cl,17,0.1
43,18,25,Ar,18,0.1
43,19,24,K,19,0.1
44,24,20,Cr,24,0.1
44,23,21,V,23,0.1
44,17,27,Cl,17,0.1
44,19,25,K,19,0.1
44,16,28,S,16,0.1
44,22,22,Ti,22,0.1
44,20,24,Ca,20,0.1
44,21,23,Sc,21,0.1
44,18,26,Ar,18,0.1
45,19,26,K,19,0.1
45,23,22,V,23,0.1
45,18,27,Ar,18,0.1
45,21,24,Sc,21,0.1
45,20,25,Ca,20,0.1
45,17,28,Cl,17,0.1
45,24,21,Cr,24,0.1
45,22,23,Ti,22,0.1
46,17,29,Cl,17,0.1
46,23,23,V,23,0.1
46,24,22,Cr,24,0.1
46,21,25,Sc,21,0.1
46,22,24,Ti,22,0.1
46,18,28,Ar,18,0.1
46,20,26,Ca,20,0.1
46,19,27,K,19,0.1
46,25,21,Mn,25,0.1
47,23,24,V,23,0.1
47,24,23,Cr,24,0.1
47,25,22,Mn,25,0.1
47,21,26,Sc,21,0.1
47,18,29,Ar,18,0.1
47,19,28,K,19,0.1
47,20,27,Ca,20,0.1
47,22,25,Ti,22,0.1
48,18,30,Ar,18,0.1
48,22,26,Ti,22,0.1
48,19,29,K,19,0.1
48,21,27,Sc,21,0.1
48,20,28,Ca,20,0.1
48,25,23,Mn,25,0.1
48,24,24,Cr,24,0.1
48,23,25,V,23,0.1
48,26,22,Fe,26,0.1
49,21,28,Sc,21,0.1
49,19,30,K,19,0.1
49,20,29,Ca,20,0.1
49,23,26,V,23,0.1
49,26,23,Fe,26,0.1
49,24,25,Cr,24,0.1
49,25,24,Mn,25,0.1
49,22,27,Ti,22,0.1
50,27,23,Co,27,0.1
50,23,27,V,23,0.1
50,19,31,K,19,0.1
50,22,28,Ti,22,0.1
50,24,26,Cr,24,0.1
50,26,24,Fe,26,0.1
50,25,25,Mn,25,0.1
50,21,29,Sc,21,0.1
50,20,30,Ca,20,0.1
51,27,24,Co,27,0.1
51,24,27,Cr,24,0.1
51,26,25,Fe,26,0.1
51,23,28,V,23,0.1
51,25,26,Mn,25,0.1
51,22,29,Ti,22,0.1
51,21,30,Sc,21,0.1
51,20,31,Ca,20,0.1
51,19,32,K,19,0.1
52,27,25,Co,27,0.1
52,28,24,Ni,28,0.1
52,25,27,Mn,25,0.1
52,21,31,Sc,21,0.1
52,22,30,Ti,22,0.1
52,19,33,K,19,0.1
52,26,26,Fe,26,0.1
52,23,29,V,23,0.1
52,24,28,Cr,24,0.1
52,20,32,Ca,20,0.1
53,21,32,Sc,21,0.1
53,23,30,V,23,0.1
53,22,31,Ti,22,0.1
53,27,26,Co,27,0.1
53,28,25,Ni,28,0.1
53,25,28,Mn,25,0.1
53,24,29,Cr,24,0.1
53,20,33,Ca,20,0.1
53,26,27,Fe,26,0.1
53,19,34,K,19,0.1
54,21,33,Sc,21,0.1
54,22,32,Ti,22,0.1
54,23,31,V,23,0.1
54,24,30,Cr,24,0.1
54,25,29,Mn,25,0.1
54,28,26,Ni,28,0.1
54,27,27,Co,27,0.1
54,26,28,Fe,26,0.1
54,20,34,Ca,20,0.1
55,26,29,Fe,26,0.1
55,25,30,Mn,25,0.1
55,27,28,Co,27,0.1
55,20,35,Ca,20,0.1
55,23,32,V,23,0.1
55,22,33,Ti,22,0.1
55,21,34,Sc,21,0.1
55,29,26,Cu,29,0.1
55,24,31,Cr,24,0.1
55,28,27,Ni,28,0.1
56,22,34,Ti,22,0.1
56,27,29,Co,27,0.1
56,28,28,Ni,28,0.1
56,29,27,Cu,29,0.1
56,20,36,Ca,20,0.1
56,24,32,Cr,24,0.1
56,23,33,V,23,0.1
56,26,30,Fe,26,0.1
56,25,31,Mn,25,0.1
56,21,35,Sc,21,0.1
57,22,35,Ti,22,0.1
57,29,28,Cu,29,0.1
57,21,36,Sc,21,0.1
57,27,30,Co,27,0.1
57,28,29,Ni,28,0.1
57,25,32,Mn,25,0.1
57,26,31,Fe,26,0.1
57,24,33,Cr,24,0.1
57,23,34,V,23,0.1
58,24,34,Cr,24,0.1
58,27,31,Co,27,0.1
58,25,33,Mn,25,0.1
58,26,32,Fe,26,0.1
58,22,36,Ti,22,0.1
58,23,35,V,23,0.1
58,21,37,Sc,21,0.1
58,29,29,Cu,29,0.1
58,30,28,Zn,30,0.1
58,28,30,Ni,28,0.1
59,28,31,Ni,28,0.1
59,26,33,Fe,26,0.1
59,23,36,V,23,0.1
59,21,38,Sc,21,0.1
59,24,35,Cr,24,0.1
59,25,34,Mn,25,0.1
59,30,29,Zn,30,0.1
59,29,30,Cu,29,0.1
59,27,32,Co,27,0.1
60,26,34,Fe,26,0.1
60,23,37,V,23,0.1
60,24,36,Cr,24,0.1
60,25,35,Mn,25,0.1
60,22,38,Ti,22,0.1
60,27,33,Co,27,0.1
60,30,30,Zn,30,0.1
60,29,31,Cu,29,0.1
60,28,32,Ni,28,0.1
61,27,34,Co,27,0.1
61,29,32,Cu,29,0.1
61,25,36,Mn,25,0.1
61,28,33,Ni,28,0.1
61,31,30,Ga,31,0.1
61,30,31,Zn,30,0.1
61,24,37,Cr,24,0.1
61,23,38,V,23,0.1
61,26,35,Fe,26,0.1
62,30,32,Zn,30,0.1
62,29,33,Cu,29,0.1
62,28,34,Ni,28,0.1
62,26,36,Fe,26,0.1
62,24,38,Cr,24,0.1
62,27,35,Co,27,0.1
62,31,31,Ga,31,0.1
62,23,39,V,23,0.1
62,25,37,Mn,25,0.1
63,23,40,V,23,0.1
63,24,39,Cr,24,0.1
63,27,36,Co,27,0.1
63,25,38,Mn,25,0.1
63,26,37,Fe,26,0.1
63,28,35,Ni,28,0.1
63,31,32,Ga,31,0.1
63,30,33,Zn,30,0.1
63,29,34,Cu,29,0.1
63,32,31,Ge,32,0.1
64,24,40,Cr,24,0.1
64,32,32,Ge,32,0.1
64,25,39,Mn,25,0.1
64,30,34,Zn,30,0.1
64,31,33,Ga,31,0.1
64,28,36,Ni,28,0.1
64,29,35,Cu,29,0.1
64,26,38,Fe,26,0.1
64,27,37,Co,27,0.1
65,31,34,Ga,31,0.1
65,32,33,Ge,32,0.1
65,30,35,Zn,30,0.1
65,27,38,Co,27,0.1
65,28,37,Ni,28,0.1
65,26,39,Fe,26,0.1
65,29,36,Cu,29,0.1
65,25,40,Mn,25,0.1
65,33,32,As,33,0.1
66,30,36,Zn,30,0.1
66,32,34,Ge,32,0.1
66,26,40,Fe,26,0.1
66,27,39,Co,27,0.1
66,25,41,Mn,25,0.1
66,28,38,Ni,28,0.1
66,33,33,As,33,0.1
66,29,37,Cu,29,0.1
66,31,35,Ga,31,0.1
67,32,35,Ge,32,0.1
67,27,40,Co,27,0.1
67,34,33,Se,34,0.1
67,33,34,As,33,0.1
67,31,36,Ga,31,0.1
67,28,39,Ni,28,0.1
67,29,38,Cu,29,0.1
67,30,37,Zn,30,0.1
67,26,41,Fe,26,0.1
68,31,37,Ga,31,0.1
68,30,38,Zn,30,0.1
68,29,39,Cu,29,0.1
68,28,40,Ni,28,0.1
68,27,41,Co,27,0.1
68,32,36,Ge,32,0.1
68,34,34,Se,34,0.1
68,33,35,As,33,0.1
69,31,38,Ga,31,0.1
69,29,40,Cu,29,0.1
69,30,39,Zn,30,0.1
69,32,37,Ge,32,0.1
69,34,35,Se,34,0.1
69,33,36,As,33,0.1
69,35,34,Br,35,0.1
69,27,42,Co,27,0.1
69,28,41,Ni,28,0.1
70,32,38,Ge,32,0.1
70,33,37,As,33,0.1
70,34,36,Se,34,0.1
70,35,35,Br,35,0.1
70,27,43,Co,27,0.1
70,28,42,Ni,28,0.1
70,29,41,Cu,29,0.1
70,30,40,Zn,30,0.1
70,31,39,Ga,31,0.1
71,34,37,Se,34,0.1
71,33,38,As,33,0.1
71,32,39,Ge,32,0.1
71,36,35,Kr,36,0.1
71,35,36,Br,35,0.1
71,28,43,Ni,28,0.1
71,29,42,Cu,29,0.1
71,30,41,Zn,30,0.1
71,31,40,Ga,31,0.1
71,27,44,Co,27,0.1
72,29,43,Cu,29,0.1
72,32,40,Ge,32,0.1
72,28,44,Ni,28,0.1
72,30,42,Zn,30,0.1
72,34,38,Se,34,0.1
72,36,36,Kr,36,0.1
72,31,41,Ga,31,0.1
72,33,39,As,33,0.1
72,35,37,Br,35,0.1
73,29,44,Cu,29,0.1
73,30,43,Zn,30,0.1
73,34,39,Se,34,0.1
73,28,45,Ni,28,0.1
73,35,38,Br,35,0.1
73,37,36,Rb,37,0.1
73,33,40,As,33,0.1
73,32,41,Ge,32,0.1
73,31,42,Ga,31,0.1
73,36,37,Kr,36,0.1
74,35,39,Br,35,0.1
74,36,38,Kr,36,0.1
74,29,45,Cu,29,0.1
74,37,37,Rb,37,0.1
74,34,40,Se,34,0.1
74,33,41,As,33,0.1
74,30,44,Zn,30,0.1
74,31,43,Ga,31,0.1
74,32,42,Ge,32,0.1
75,36,39,Kr,36,0.1
75,37,38,Rb,37,0.1
75,34,41,Se,34,0.1
75,38,37,Sr,38,0.1
75,33,42,As,33,0.1
75,31,44,Ga,31,0.1
75,30,45,Zn,30,0.1
75,29,46,Cu,29,0.1
75,32,43,Ge,32,0.1
75,35,40,Br,35,0.1
76,37,39,Rb,37,0.1
76,38,38,Sr,38,0.1
76,34,42,Se,34,0.1
76,31,45,Ga,31,0.1
76,35,41,Br,35,0.1
76,36,40,Kr,36,0.1
76,30,46,Zn,30,0.1
76,29,47,Cu,29,0.1
76,32,44,Ge,32,0.1
76,33,43,As,33,0.1
77,29,48,Cu,29,0.1
77,38,39,Sr,38,0.1
77,31,46,Ga,31,0.1
77,30,47,Zn,30,0.1
77,37,40,Rb,37,0.1
77,36,41,Kr,36,0.1
77,35,42,Br,35,0.1
77,34,43,Se,34,0.1
77,32,45,Ge,32,0.1
77,33,44,As,33,0.1
78,31,47,Ga,31,0.1
78,30,48,Zn,30,0.1
78,29,49,Cu,29,0.1
78,38,40,Sr,38,0.1
78,35,43,Br,35,0.1
78,34,44,Se,34,0.1
78,36,42,Kr,36,0.1
78,37,41,Rb,37,0.1
78,33,45,As,33,0.1
78,32,46,Ge,32,0.1
79,37,42,Rb,37,0.1
79,36,43,Kr,36,0.1
79,39,40,Y,39,0.1
79,38,41,Sr,38,0.1
79,33,46,As,33,0.1
79,32,47,Ge,32,0.1
79,30,49,Zn,30,0.1
79,29,50,Cu,29,0.1
79,34,45,Se,34,0.1
79,31,48,Ga,31,0.1
79,35,44,Br,35,0.1
80,34,46,Se,34,0.1
80,30,50,Zn,30,0.1
80,35,45,Br,35,0.1
80,37,43,Rb,37,0.1
80,31,49,Ga,31,0.1
80,38,42,Sr,38,0.1
80,39,41,Y,39,0.1
80,32,48,Ge,32,0.1
80,36,44,Kr,36,0.1
80,33,47,As,33,0.1
81,35,46,Br,35,0.1
81,37,44,Rb,37,0.1
81,36,45,Kr,36,0.1
81,32,49,Ge,32,0.1
81,33,48,As,33,0.1
81,34,47,Se,34,0.1
81,30,51,Zn,30,0.1
81,31,50,Ga,31,0.1
81,40,41,Zr,40,0.1
81,39,42,Y,39,0.1
81,38,43,Sr,38,0.1
82,31,51,Ga,31,0.1
82,38,44,Sr,38,0.1
82,35,47,Br,35,0.1
82,32,50,Ge,32,0.1
82,33,49,As,33,0.1
82,40,42,Zr,40,0.1
82,39,43,Y,39,0.1
82,37,45,Rb,37,0.1
82,36,46,Kr,36,0.1
82,34,48,Se,34,0.1
82,30,52,Zn,30,0.1
83,38,45,Sr,38,0.1
83,39,44,Y,39,0.1
83,34,49,Se,34,0.1
83,33,50,As,33,0.1
83,40,43,Zr,40,0.1
83,41,42,Nb,41,0.1
83,32,51,Ge,32,0.1
83,31,52,Ga,31,0.1
83,37,46,Rb,37,0.1
83,36,47,Kr,36,0.1
83,35,48,Br,35,0.1
84,34,50,Se,34,0.1
84,37,47,Rb,37,0.1
84,36,48,Kr,36,0.1
84,35,49,Br,35,0.1
84,32,52,Ge,32,0.1
84,33,51,As,33,0.1
84,31,53,Ga,31,0.1
84,39,45,Y,39,0.1
84,38,46,Sr,38,0.1
84,41,43,Nb,41,0.1
84,40,44,Zr,40,0.1
85,32,53,Ge,32,0.1
85,31,54,Ga,31,0.1
85,34,51,Se,34,0.1
85,33,52,As,33,0.1
85,37,48,Rb,37,0.1
85,41,44,Nb,41,0.1
85,38,47,Sr,38,0.1
85,40,45,Zr,40,0.1
85,39,46,Y,39,0.1
85,42,43,Mo,42,0.1
85,36,49,Kr,36,0.1
85,35,50,Br +,35,0.1
86,41,45,Nb,41,0.1
86,34,52,Se,34,0.1
86,39,47,Y,39,0.1
86,37,49,Rb,37,0.1
86,38,48,Sr,38,0.1
86,36,50,Kr,36,0.1
86,35,51,Br,35,0.1
86,33,53,As,33,0.1
86,42,44,Mo,42,0.1
86,32,54,Ge,32,0.1
86,40,46,Zr,40,0.1
87,37,50,Rb,37,0.1
87,35,52,Br 2,35,0.1
87,34,53,Se,34,0.1
87,33,54,As,33,0.1
87,38,49,Sr,38,0.1
87,36,51,Kr,36,0.1
87,43,44,Tc,43,0.1
87,42,45,Mo,42,0.1
87,40,47,Zr,40,0.1
87,39,48,Y,39,0.1
87,41,46,Nb,41,0.1
88,42,46,Mo,42,0.1
88,41,47,Nb,41,0.1
88,36,52,Kr,36,0.1
88,43,45,Tc,43,0.1
88,39,49,Y,39,0.1
88,38,50,Sr,38,0.1
88,37,51,Rb,37,0.1
88,40,48,Zr,40,0.1
88,34,54,Se,34,0.1
88,35,53,Br,35,0.1
89,42,47,Mo,42,0.1
89,36,53,Kr,36,0.1
89,44,45,Ru,44,0.1
89,43,46,Tc,43,0.1
89,41,48,Nb,41,0.1
89,40,49,Zr,40,0.1
89,38,51,Sr,38,0.1
89,37,52,Rb,37,0.1
89,35,54,Br,35,0.1
89,34,55,Se,34,0.1
89,39,50,Y,39,0.1
90,39,51,Y,39,0.1
90,41,49,Nb,41,0.1
90,42,48,Mo,42,0.1
90,38,52,Sr,38,0.1
90,40,50,Zr,40,0.1
90,36,54,Kr,36,0.1
90,37,53,Rb,37,0.1
90,43,47,Tc,43,0.1
90,44,46,Ru,44,0.1
90,34,56,Se,34,0.1
90,35,55,Br,35,0.1
91,37,54,Rb,37,0.1
91,41,50,Nb,41,0.1
91,38,53,Sr,38,0.1
91,39,52,Y,39,0.1
91,43,48,Tc,43,0.1
91,42,49,Mo,42,0.1
91,36,55,Kr,36,0.1
91,34,57,Se,34,0.1
91,35,56,Br -,35,0.1
91,40,51,Zr,40,0.1
91,44,47,Ru,44,0.1
92,38,54,Sr,38,0.1
92,41,51,Nb,41,0.1
92,40,52,Zr,40,0.1
92,42,50,Mo,42,0.1
92,37,55,Rb,37,0.1
92,36,56,Kr,36,0.1
92,35,57,Br,35,0.1
92,39,53,Y,39,0.1
92,44,48,Ru,44,0.1
92,45,47,Rh,45,0.1
92,46,46,Pd,46,0.1
92,43,49,Tc,43,0.1
93,46,47,Pd,46,0.1
93,38,55,Sr,38,0.1
93,41,52,Nb,41,0.1
93,42,51,Mo,42,0.1
93,43,50,Tc,43,0.1
93,44,49,Ru,44,0.1
93,45,48,Rh,45,0.1
93,35,58,Br,35,0.1
93,39,54,Y,39,0.1
93,40,53,Zr,40,0.1
93,37,56,Rb,37,0.1
93,36,57,Kr,36,0.1
94,46,48,Pd,46,0.1
94,41,53,Nb,41,0.1
94,44,50,Ru,44,0.1
94,45,49,Rh,45,0.1
94,37,57,Rb,37,0.1
94,38,56,Sr,38,0.1
94,36,58,Kr,36,0.1
94,40,54,Zr,40,0.1
94,42,52,Mo,42,0.1
94,43,51,Tc,43,0.1
94,39,55,Y,39,0.1
95,36,59,Kr,36,0.1
95,42,53,Mo,42,0.1
95,45,50,Rh,45,0.1
95,44,51,Ru,44,0.1
95,43,52,Tc,43,0.1
95,41,54,Nb,41,0.1
95,37,58,Rb,37,0.1
95,38,57,Sr,38,0.1
95,39,56,Y,39,0.1
95,40,55,Zr,40,0.1
95,46,49,Pd,46,0.1
96,47,49,Ag,47,0.1
96,46,50,Pd,46,0.1
96,37,59,Rb,37,0.1
96,42,54,Mo,42,0.1
96,39,57,Y,39,0.1
96,45,51,Rh,45,0.1
96,44,52,Ru,44,0.1
96,43,53,Tc,43,0.1
96,36,60,Kr,36,0.1
96,38,58,Sr,38,0.1
96,41,55,Nb,41,0.1
96,40,56,Zr,40,0.1
97,45,52,Rh,45,0.1
97,46,51,Pd,46,0.1
97,41,56,Nb,41,0.1
97,43,54,Tc,43,0.1
97,47,50,Ag,47,0.1
97,48,49,Cd,48,0.1
97,44,53,Ru,44,0.1
97,38,59,Sr,38,0.1
97,37,60,Rb,37,0.1
97,36,61,Kr,36,0.1
97,40,57,Zr,40,0.1
97,39,58,Y,39,0.1
97,42,55,Mo,42,0.1
98,46,52,Pd,46,0.1
98,47,51,Ag,47,0.1
98,39,59,Y  p,39,0.1
98,40,58,Zr,40,0.1
98,42,56,Mo,42,0.1
98,38,60,Sr,38,0.1
98,45,53,Rh,45,0.1
98,37,61,Rb,37,0.1
98,43,55,Tc,43,0.1
98,44,54,Ru,44,0.1
98,41,57,Nb,41,0.1
98,48,50,Cd,48,0.1
99,45,54,Rh,45,0.1
99,48,51,Cd,48,0.1
99,42,57,Mo,42,0.1
99,46,53,Pd,46,0.1
99,39,60,Y,39,0.1
99,37,62,Rb,37,0.1
99,41,58,Nb,41,0.1
99,38,61,Sr,38,0.1
99,44,55,Ru,44,0.1
99,40,59,Zr,40,0.1
99,47,52,Ag,47,0.1
99,43,56,Tc,43,0.1
100,43,57,Tc,43,0.1
100,45,55,Rh,45,0.1
100,44,56,Ru,44,0.1
100,40,60,Zr,40,0.1
100,37,63,Rb,37,0.1
100,38,62,Sr,38,0.1
100,42,58,Mo,42,0.1
100,41,59,Nb,41,0.1
100,47,53,Ag,47,0.1
100,46,54,Pd,46,0.1
100,48,52,Cd,48,0.1
100,49,51,In,49,0.1
100,39,61,Y,39,0.1
100,50,50,Sn,50,0.1
101,47,54,Ag,47,0.1
101,46,55,Pd,46,0.1
101,50,51,Sn,50,0.1
101,49,52,In,49,0.1
101,40,61,Zr,40,0.1
101,45,56,Rh,45,0.1
101,44,57,Ru,44,0.1
101,43,58,Tc,43,0.1
101,48,53,Cd,48,0.1
101,42,59,Mo,42,0.1
101,37,64,Rb,37,0.1
101,38,63,Sr,38,0.1
101,39,62,Y,39,0.1
101,41,60,Nb,41,0.1
102,42,60,Mo,42,0.1
102,43,59,Tc,43,0.1
102,50,52,Sn,50,0.1
102,45,57,Rh,45,0.1
102,40,62,Zr,40,0.1
102,39,63,Y,39,0.1
102,41,61,Nb,41,0.1
102,48,54,Cd,48,0.1
102,46,56,Pd,46,0.1
102,47,55,Ag,47,0.1
102,44,58,Ru,44,0.1
102,37,65,Rb,37,0.1
102,38,64,Sr,38,0.1
102,49,53,In,49,0.1
103,46,57,Pd,46,0.1
103,49,54,In,49,0.1
103,40,63,Zr,40,0.1
103,41,62,Nb,41,0.1
103,47,56,Ag,47,0.1
103,39,64,Y,39,0.1
103,43,60,Tc,43,0.1
103,44,59,Ru,44,0.1
103,42,61,Mo,42,0.1
103,48,55,Cd,48,0.1
103,45,58,Rh,45,0.1
104,41,63,Nb,41,0.1
104,49,55,In,49,0.1
104,40,64,Zr,40,0.1
104,52,52,Te,52,0.1
104,50,54,Sn,50,0.1
104,42,62,Mo,42,0.1
104,43,61,Tc,43,0.1
104,44,60,Ru,44,0.1
104,45,59,Rh,45,0.1
104,47,57,Ag,47,0.1
104,46,58,Pd,46,0.1
