A,Z,N,element,target,sigma
104,48,56,Cd,48,0.1
105,41,64,Nb,41,0.1
105,52,53,Te,52,0.1
105,51,54,Sb,51,0.1
105,50,55,Sn,50,0.1
105,45,60,Rh,45,0.1
105,44,61,Ru,44,0.1
105,43,62,Tc,43,0.1
105,48,57,Cd,48,0.1
105,49,56,In,49,0.1
105,40,65,Zr,40,0.1
105,47,58,Ag,47,0.1
105,46,59,Pd,46,0.1
105,42,63,Mo,42,0.1
106,41,65,Nb,41,0.1
106,42,64,Mo,42,0.1
106,43,63,Tc,43,0.1
106,51,55,Sb,51,0.1
106,46,60,Pd,46,0.1
106,47,59,Ag,47,0.1
106,48,58,Cd,48,0.1
106,49,57,In,49,0.1
106,50,56,Sn,50,0.1
106,44,62,Ru,44,0.1
106,45,61,Rh,45,0.1
106,52,54,Te,52,0.1
107,44,63,Ru,44,0.1
107,45,62,Rh,45,0.1
107,46,61,Pd,46,0.1
107,43,64,Tc,43,0.1
107,47,60,Ag,47,0.1
107,42,65,Mo,42,0.1
107,50,57,Sn,50,0.1
107,49,58,In,49,0.1
107,51,56,Sb,51,0.1
107,41,66,Nb,41,0.1
107,48,59,Cd,48,0.1
108,52,56,Te,52,0.1
108,47,61,Ag,47,0.1
108,46,62,Pd,46,0.1
108,45,63,Rh,45,0.1
108,54,54,Xe,54,0.1
108,51,57,Sb,51,0.1
108,50,58,Sn,50,0.1
108,49,59,In,49,0.1
108,48,60,Cd,48,0.1
108,43,65,Tc,43,0.1
108,41,67,Nb,41,0.1
108,42,66,Mo,42,0.1
108,44,64,Ru,44,0.1
109,44,65,Ru,44,0.1
109,43,66,Tc,43,0.1
109,46,63,Pd,46,0.1
109,45,64,Rh,45,0.1
109,48,61,Cd,48,0.1
109,47,62,Ag,47,0.1
109,50,59,Sn,50,0.1
109,49,60,In,49,0.1
109,42,67,Mo,42,0.1
109,41,68,Nb,41,0.1
109,52,57,Te,52,0.1
109,51,58,Sb,51,0.1
109,54,55,Xe,54,0.1
109,53,56,I,53,0.1
110,47,63,Ag,47,0.1
110,48,62,Cd,48,0.1
110,46,64,Pd,46,0.1
110,50,60,Sn,50,0.1
110,52,58,Te,52,0.1
110,51,59,Sb,51,0.1
110,49,61,In,49,0.1
110,41,69,Nb,41,0.1
110,54,56,Xe,54,0.1
110,53,57,I,53,0.1
110,45,65,Rh,45,0.1
110,44,66,Ru,44,0.1
110,43,67,Tc,43,0.1
110,42,68,Mo,42,0.1
111,48,63,Cd,48,0.1
111,47,64,Ag,47,0.1
111,53,58,I,53,0.1
111,49,62,In,49,0.1
111,52,59,Te,52,0.1
111,45,66,Rh,45,0.1
111,46,65,Pd,46,0.1
111,44,67,Ru,44,0.1
111,43,68,Tc,43,0.1
111,51,60,Sb,51,0.1
111,50,61,Sn,50,0.1
111,42,69,Mo,42,0.1
112,44,68,Ru,44,0.1
112,45,67,Rh,45,0.1
112,43,69,Tc,43,0.1
112,49,63,In,49,0.1
112,50,62,Sn,50,0.1
112,48,64,Cd,48,0.1
112,47,65,Ag,47,0.1
112,46,66,Pd,46,0.1
112,54,58,Xe,54,0.1
112,53,59,I,53,0.1
112,52,60,Te,52,0.1
112,51,61,Sb,51,0.1
113,54,59,Xe,54,0.1
113,45,68,Rh,45,0.1
113,44,69,Ru,44,0.1
113,43,70,Tc,43,0.1
113,52,61,Te,52,0.1
113,51,62,Sb,51,0.1
113,50,63,Sn,50,0.1
113,49,64,In,49,0.1
113,48,65,Cd,48,0.1
113,47,66,Ag,47,0.1
113,55,58,Cs,55,0.1
113,53,60,I,53,0.1
113,46,67,Pd,46,0.1
114,54,60,Xe,54,0.1
114,56,58,Ba,56,0.1
114,52,62,Te,52,0.1
114,43,71,Tc,43,0.1
114,55,59,Cs,55,0.1
114,53,61,I,53,0.1
114,51,63,Sb,51,0.1
114,50,64,Sn,50,0.1
114,48,66,Cd,48,0.1
114,49,65,In,49,0.1
114,44,70,Ru,44,0.1
114,46,68,Pd,46,0.1
114,45,69,Rh,45,0.1
114,47,67,Ag,47,0.1
115,47,68,Ag,47,0.1
115,46,69,Pd,46,0.1
115,49,66,In,49,0.1
115,48,67,Cd,48,0.1
115,50,65,Sn,50,0.1
115,53,62,I,53,0.1
115,45,70,Rh,45,0.1
115,54,61,Xe,54,0.1
115,52,63,Te,52,0.1
115,44,71,Ru,44,0.1
115,51,64,Sb,51,0.1
116,54,62,Xe,54,0.1
116,51,65,Sb,51,0.1
116,50,66,Sn,50,0.1
116,53,63,I,53,0.1
116,46,70,Pd,46,0.1
116,47,69,Ag,47,0.1
116,44,72,Ru,44,0.1
116,45,71,Rh,45,0.1
116,52,64,Te,52,0.1
116,48,68,Cd,48,0.1
116,49,67,In,49,0.1
117,44,73,Ru,44,0.1
117,45,72,Rh,45,0.1
117,55,62,Cs,55,0.1
117,52,65,Te,52,0.1
117,50,67,Sn,50,0.1
117,49,68,In,49,0.1
117,48,69,Cd,48,0.1
117,47,70,Ag,47,0.1
117,53,64,I,53,0.1
117,51,66,Sb,51,0.1
117,56,61,Ba,56,0.1
117,54,63,Xe,54,0.1
117,46,71,Pd,46,0.1
118,50,68,Sn,50,0.1
118,54,64,Xe,54,0.1
118,51,67,Sb,51,0.1
118,55,63,Cs,55,0.1
118,52,66,Te,52,0.1
118,53,65,I,53,0.1
118,45,73,Rh,45,0.1
118,46,72,Pd,46,0.1
118,47,71,Ag,47,0.1
118,48,70,Cd,48,0.1
118,49,69,In,49,0.1
119,55,64,Cs,55,0.1
119,52,67,Te,52,0.1
119,53,66,I,53,0.1
119,50,69,Sn,50,0.1
119,48,71,Cd,48,0.1
119,49,70,In,49,0.1
119,45,74,Rh,45,0.1
119,54,65,Xe,54,0.1
119,51,68,Sb,51,0.1
119,46,73,Pd,46,0.1
119,47,72,Ag,47,0.1
119,56,63,Ba,56,0.1
120,56,64,Ba,56,0.1
120,46,74,Pd,46,0.1
120,55,65,Cs,55,0.1
120,54,66,Xe,54,0.1
120,51,69,Sb,51,0.1
120,50,70,Sn,50,0.1
120,52,68,Te,52,0.1
120,47,73,Ag,47,0.1
120,49,71,In,49,0.1
120,48,72,Cd,48,0.1
120,53,67,I,53,0.1
121,55,66,Cs,55,0.1
121,47,74,Ag,47,0.1
121,48,73,Cd,48,0.1
121,56,65,Ba,56,0.1
121,49,72,In,49,0.1
121,54,67,Xe,54,0.1
121,53,68,I,53,0.1
121,46,75,Pd,46,0.1
121,45,76,Rh,45,0.1
121,50,71,Sn,50,0.1
121,52,69,Te,52,0.1
121,51,70,Sb,51,0.1
122,52,70,Te,52,0.1
122,55,67,Cs,55,0.1
122,51,71,Sb,51,0.1
122,50,72,Sn,50,0.1
122,49,73,In,49,0.1
122,53,69,I,53,0.1
122,46,76,Pd,46,0.1
122,48,74,Cd,48,0.1
122,47,75,Ag,47,0.1
122,54,68,Xe,54,0.1
122,56,66,Ba,56,0.1
123,56,67,Ba,56,0.1
123,54,69,Xe,54,0.1
123,55,68,Cs,55,0.1
123,50,73,Sn,50,0.1
123,48,75,Cd,48,0.1
123,49,74,In,49,0.1
123,51,72,Sb,51,0.1
123,52,71,Te,52,0.1
123,53,70,I,53,0.1
123,46,77,Pd,46,0.1
123,47,76,Ag,47,0.1
124,56,68,Ba,56,0.1
124,55,69,Cs,55,0.1
124,53,71,I,53,0.1
124,54,70,Xe,54,0.1
124,52,72,Te,52,0.1
124,51,73,Sb,51,0.1
124,50,74,Sn,50,0.1
124,49,75,In,49,0.1
124,57,67,La,57,0.1
124,48,76,Cd,48,0.1
124,47,77,Ag,47,0.1
125,53,72,I,53,0.1
125,48,77,Cd,48,0.1
125,47,78,Ag,47,0.1
125,50,75,Sn,50,0.1
125,51,74,Sb,51,0.1
125,54,71,Xe,54,0.1
125,55,70,Cs,55,0.1
125,56,69,Ba,56,0.1
125,57,68,La,57,0.1
125,52,73,Te,52,0.1
125,49,76,In,49,0.1
126,56,70,Ba,56,0.1
126,54,72,Xe,54,0.1
126,58,68,Ce,58,0.1
126,55,71,Cs,55,0.1
126,52,74,Te,52,0.1
126,53,73,I,53,0.1
126,51,75,Sb,51,0.1
126,48,78,Cd,48,0.1
126,49,77,In,49,0.1
126,57,69,La,57,0.1
126,50,76,Sn,50,0.1
127,50,77,Sn,50,0.1
127,51,76,Sb,51,0.1
127,52,75,Te,52,0.1
127,53,74,I,53,0.1
127,54,73,Xe,54,0.1
127,55,72,Cs,55,0.1
127,57,70,La,57,0.1
127,49,78,In,49,0.1
127,48,79,Cd,48,0.1
127,56,71,Ba,56,0.1
127,58,69,Ce,58,0.1
128,54,74,Xe,54,0.1
128,58,70,Ce,58,0.1
128,55,73,Cs,55,0.1
128,56,72,Ba,56,0.1
128,57,71,La,57,0.1
128,48,80,Cd,48,0.1
128,52,76,Te,52,0.1
128,51,77,Sb,51,0.1
128,50,78,Sn,50,0.1
128,49,79,In,49,0.1
128,59,69,Pr,59,0.1
128,53,75,I,53,0.1
129,50,79,Sn,50,0.1
129,57,72,La,57,0.1
129,58,71,Ce,58,0.1
129,59,70,Pr,59,0.1
129,53,76,I,53,0.1
129,52,77,Te,52,0.1
129,51,78,Sb,51,0.1
129,48,81,Cd,48,0.1
129,49,80,In,49,0.1
129,55,74,Cs,55,0.1
129,54,75,Xe,54,0.1
129,56,73,Ba,56,0.1
130,53,77,I,53,0.1
130,58,72,Ce,58,0.1
130,57,73,La,57,0.1
130,55,75,Cs,55,0.1
130,56,74,Ba,56,0.1
130,50,80,Sn,50,0.1
130,51,79,Sb,51,0.1
130,48,82,Cd,48,0.1
130,49,81,In,49,0.1
130,52,78,Te,52,0.1
130,59,71,Pr,59,0.1
130,60,70,Nd,60,0.1
130,54,76,Xe,54,0.1
131,50,81,Sn,50,0.1
131,51,80,Sb,51,0.1
131,53,78,I,53,0.1
131,54,77,Xe,54,0.1
131,57,74,La,57,0.1
131,49,82,In,49,0.1
131,55,76,Cs,55,0.1
131,58,73,Ce,58,0.1
131,48,83,Cd,48,0.1
131,52,79,Te,52,0.1
131,56,75,Ba,56,0.1
131,59,72,Pr,59,0.1
131,60,71,Nd,60,0.1
132,56,76,Ba,56,0.1
132,55,77,Cs,55,0.1
132,53,79,I,53,0.1
132,60,72,Nd,60,0.1
132,49,83,In,49,0.1
132,52,80,Te,52,0.1
132,50,82,Sn,50,0.1
132,48,84,Cd,48,0.1
132,57,75,La,57,0.1
132,58,74,Ce,58,0.1
132,54,78,Xe,54,0.1
132,59,73,Pr,59,0.1
132,51,81,Sb,51,0.1
133,55,78,Cs,55,0.1
133,51,82,Sb,51,0.1
133,52,81,Te,52,0.1
133,53,80,I,53,0.1
133,54,79,Xe,54,0.1
133,50,83,Sn,50,0.1
133,58,75,Ce,58,0.1
133,56,77,Ba,56,0.1
133,61,72,Pm,61,0.1
133,60,73,Nd,60,0.1
133,57,76,La,57,0.1
133,59,74,Pr,59,0.1
134,59,75,Pr,59,0.1
134,51,83,Sb,51,0.1
134,50,84,Sn,50,0.1
134,58,76,Ce,58,0.1
134,57,77,La,57,0.1
134,56,78,Ba,56,0.1
134,54,80,Xe,54,0.1
134,55,79,Cs,55,0.1
134,53,81,I,53,0.1
134,60,74,Nd,60,0.1
134,61,73,Pm,61,0.1
134,52,82,Te,52,0.1
135,59,76,Pr,59,0.1
135,60,75,Nd,60,0.1
135,61,74,Pm,61,0.1
135,62,73,Sm,62,0.1
135,56,79,Ba,56,0.1
135,57,78,La,57,0.1
135,58,77,Ce,58,0.1
135,50,85,Sn,50,0.1
135,51,84,Sb,51,0.1
135,52,83,Te,52,0.1
135,53,82,I,53,0.1
135,54,81,Xe,54,0.1
135,55,80,Cs,55,0.1
136,53,83,I,53,0.1
136,54,82,Xe,54,0.1
136,51,85,Sb,51,0.1
136,52,84,Te,52,0.1
136,62,74,Sm,62,0.1
136,59,77,Pr,59,0.1
136,61,75,Pm,61,0.1
136,56,80,Ba,56,0.1
136,57,79,La,57,0.1
136,55,81,Cs,55,0.1
136,58,78,Ce,58,0.1
136,60,76,Nd,60,0.1
137,56,81,Ba,56,0.1
137,57,80,La,57,0.1
137,55,82,Cs,55,0.1
137,52,85,Te,52,0.1
137,51,86,Sb,51,0.1
137,53,84,I  p,53,0.1
137,54,83,Xe,54,0.1
137,58,79,Ce,58,0.1
137,59,78,Pr,59,0.1
137,61,76,Pm,61,0.1
137,60,77,Nd,60,0.1
137,62,75,Sm,62,0.1
137,63,74,Eu,63,0.1
138,54,84,Xe,54,0.1
138,55,83,Cs,55,0.1
138,56,82,Ba,56,0.1
138,57,81,La,57,0.1
138,58,80,Ce,58,0.1
138,59,79,Pr,59,0.1
138,61,77,Pm,61,0.1
138,62,76,Sm,62,0.1
138,63,75,Eu,63,0.1
138,52,86,Te,52,0.1
138,60,78,Nd,60,0.1
138,53,85,I,53,0.1
139,54,85,Xe,54,0.1
139,55,84,Cs,55,0.1
139,57,82,La,57,0.1
139,53,86,I,53,0.1
139,58,81,Ce,58,0.1
139,59,80,Pr,59,0.1
139,61,78,Pm,61,0.1
139,60,79,Nd,60,0.1
139,62,77,Sm,62,0.1
139,63,76,Eu,63,0.1
139,56,83,Ba,56,0.1
139,52,87,Te,52,0.1
140,55,85,Cs,55,0.1
140,56,84,Ba,56,0.1
140,57,83,La,57,0.1
140,58,82,Ce,58,0.1
140,59,81,Pr,59,0.1
140,61,79,Pm,61,0.1
140,53,87,I,53,0.1
140,54,86,Xe,54,0.1
140,60,80,Nd,60,0.1
140,62,78,Sm,62,0.1
140,63,77,Eu,63,0.1
140,64,76,Gd,64,0.1
140,52,88,Te,52,0.1
140,65,75,Tb,65,0.1
141,63,78,Eu,63,0.1
141,53,88,I,53,0.1
141,54,87,Xe,54,0.1
141,56,85,Ba,56,0.1
141,57,84,La,57,0.1
141,60,81,Nd,60,0.1
141,59,82,Pr,59,0.1
141,58,83,Ce,58,0.1
141,55,86,Cs,55,0.1
141,65,76,Tb,65,0.1
141,64,77,Gd,64,0.1
141,62,79,Sm,62,0.1
141,61,80,Pm,61,0.1
142,58,84,Ce,58,0.1
142,54,88,Xe,54,0.1
142,53,89,I,53,0.1
142,57,85,La,57,0.1
142,59,83,Pr,59,0.1
142,56,86,Ba,56,0.1
142,55,87,Cs,55,0.1
142,60,82,Nd,60,0.1
142,61,81,Pm,61,0.1
142,63,79,Eu,63,0.1
142,62,80,Sm,62,0.1
142,65,77,Tb,65,0.1
142,64,78,Gd,64,0.1
143,60,83,Nd,60,0.1
143,61,82,Pm,61,0.1
143,65,78,Tb,65,0.1
143,66,77,Dy,66,0.1
143,63,80,Eu,63,0.1
143,64,79,Gd,64,0.1
143,58,85,Ce,58,0.1
143,57,86,La,57,0.1
143,54,89,Xe,54,0.1
143,59,84,Pr,59,0.1
143,55,88,Cs,55,0.1
143,56,87,Ba,56,0.1
143,62,81,Sm,62,0.1
144,58,86,Ce,58,0.1
144,59,85,Pr,59,0.1
144,60,84,Nd,60,0.1
144,61,83,Pm,61,0.1
144,62,82,Sm,62,0.1
144,63,81,Eu,63,0.1
144,64,80,Gd,64,0.1
144,66,78,Dy,66,0.1
144,65,79,Tb,65,0.1
144,56,88,Ba,56,0.1
144,67,77,Ho,67,0.1
144,57,87,La,57,0.1
144,55,89,Cs,55,0.1
144,54,90,Xe,54,0.1
145,54,91,Xe,54,0.1
145,55,90,Cs,55,0.1
145,59,86,Pr,59,0.1
145,61,84,Pm,61,0.1
145,60,85,Nd,60,0.1
145,58,87,Ce,58,0.1
145,57,88,La,57,0.1
145,56,89,Ba,56,0.1
145,63,82,Eu,63,0.1
145,67,78,Ho,67,0.1
145,66,79,Dy,66,0.1
145,65,80,Tb,65,0.1
145,64,81,Gd,64,0.1
145,62,83,Sm,62,0.1
146,54,92,Xe,54,0.1
146,68,78,Er,68,0.1
146,62,84,Sm,62,0.1
146,65,81,Tb,65,0.1
146,63,83,Eu,63,0.1
146,64,82,Gd,64,0.1
146,55,91,Cs,55,0.1
146,66,80,Dy,66,0.1
146,61,85,Pm,61,0.1
146,60,86,Nd,60,0.1
146,59,87,Pr,59,0.1
146,58,88,Ce,58,0.1
146,57,89,La,57,0.1
146,56,90,Ba,56,0.1
146,67,79,Ho,67,0.1
147,64,83,Gd,64,0.1
147,65,82,Tb,65,0.1
147,67,80,Ho,67,0.1
147,66,81,Dy,66,0.1
147,62,85,Sm,62,0.1
147,63,84,Eu,63,0.1
147,61,86,Pm,61,0.1
147,56,91,Ba,56,0.1
147,57,90,La,57,0.1
147,60,87,Nd,60,0.1
147,68,79,Er,68,0.1
147,69,78,Tm,69,0.1
147,55,92,Cs,55,0.1
147,58,89,Ce,58,0.1
147,59,88,Pr,59,0.1
148,55,93,Cs,55,0.1
148,57,91,La,57,0.1
148,58,90,Ce,58,0.1
148,61,87,Pm,61,0.1
148,60,88,Nd,60,0.1
148,62,86,Sm,62,0.1
148,67,81,Ho,67,0.1
148,56,92,Ba,56,0.1
148,59,89,Pr,59,0.1
148,65,83,Tb,65,0.1
148,63,85,Eu,63,0.1
148,64,84,Gd,64,0.1
148,68,80,Er,68,0.1
148,69,79,Tm,69,0.1
148,66,82,Dy,66,0.1
149,67,82,Ho,67,0.1
149,64,85,Gd,64,0.1
149,63,86,Eu,63,0.1
149,62,87,Sm,62,0.1
149,60,89,Nd,60,0.1
149,65,84,Tb,65,0.1
149,61,88,Pm,61,0.1
149,59,90,Pr,59,0.1
149,66,83,Dy,66,0.1
149,56,93,Ba,56,0.1
149,68,81,Er,68,0.1
149,58,91,Ce,58,0.1
149,57,92,La,57,0.1
150,60,90,Nd,60,0.1
150,59,91,Pr,59,0.1
150,58,92,Ce,58,0.1
150,61,89,Pm,61,0.1
150,63,87,Eu,63,0.1
150,62,88,Sm,62,0.1
150,56,94,Ba,56,0.1
150,64,86,Gd,64,0.1
150,57,93,La,57,0.1
150,68,82,Er,68,0.1
150,67,83,Ho,67,0.1
150,66,84,Dy,66,0.1
150,65,85,Tb,65,0.1
151,59,92,Pr,59,0.1
151,67,84,Ho,67,0.1
151,64,87,Gd,64,0.1
151,66,85,Dy,66,0.1
151,63,88,Eu,63,0.1
151,62,89,Sm,62,0.1
151,61,90,Pm,61,0.1
151,57,94,La,57,0.1
151,68,83,Er,68,0.1
151,69,82,Tm,69,0.1
151,60,91,Nd,60,0.1
151,70,81,Yb,70,0.1
151,58,93,Ce,58,0.1
151,65,86,Tb,65,0.1
152,59,93,Pr,59,0.1
152,62,90,Sm,62,0.1
152,63,89,Eu,63,0.1
152,60,92,Nd,60,0.1
152,67,85,Ho,67,0.1
152,68,84,Er,68,0.1
152,65,87,Tb,65,0.1
152,66,86,Dy,66,0.1
152,64,88,Gd,64,0.1
152,69,83,Tm,69,0.1
152,61,91,Pm,61,0.1
152,70,82,Yb,70,0.1
153,68,85,Er,68,0.1
153,69,84,Tm,69,0.1
153,71,82,Lu,71,0.1
153,61,92,Pm,61,0.1
153,59,94,Pr,59,0.1
153,65,88,Tb,65,0.1
153,67,86,Ho,67,0.1
153,63,90,Eu,63,0.1
153,64,89,Gd,64,0.1
153,60,93,Nd,60,0.1
153,62,91,Sm,62,0.1
153,66,87,Dy,66,0.1
154,59,95,Pr,59,0.1
154,60,94,Nd,60,0.1
154,70,84,Yb,70,0.1
154,68,86,Er,68,0.1
154,67,87,Ho,67,0.1
154,66,88,Dy,66,0.1
154,65,89,Tb,65,0.1
154,64,90,Gd,64,0.1
154,61,93,Pm,61,0.1
154,63,91,Eu,63,0.1
154,62,92,Sm,62,0.1
154,69,85,Tm,69,0.1
155,59,96,Pr,59,0.1
155,65,90,Tb,65,0.1
155,60,95,Nd,60,0.1
155,69,86,Tm,69,0.1
155,70,85,Yb,70,0.1
155,71,84,Lu,71,0.1
155,63,92,Eu,63,0.1
155,68,87,Er,68,0.1
155,66,89,Dy,66,0.1
155,62,93,Sm,62,0.1
155,61,94,Pm,61,0.1
155,64,91,Gd,64,0.1
155,67,88,Ho,67,0.1
156,69,87,Tm,69,0.1
156,67,89,Ho,67,0.1
156,65,91,Tb,65,0.1
156,68,88,Er,68,0.1
156,70,86,Yb,70,0.1
156,66,90,Dy,66,0.1
156,59,97,Pr,59,0.1
156,61,95,Pm,61,0.1
156,71,85,Lu,71,0.1
156,72,84,Hf,72,0.1
156,64,92,Gd,64,0.1
156,63,93,Eu,63,0.1
156,62,94,Sm,62,0.1
156,60,96,Nd,60,0.1
157,65,92,Tb,65,0.1
157,66,91,Dy,66,0.1
157,70,87,Yb,70,0.1
157,68,89,Er,68,0.1
157,62,95,Sm,62,0.1
157,60,97,Nd,60,0.1
157,61,96,Pm,61,0.1
157,64,93,Gd,64,0.1
157,67,90,Ho,67,0.1
157,63,94,Eu,63,0.1
157,73,84,Ta,73,0.1
157,69,88,Tm,69,0.1
157,71,86,Lu,71,0.1
157,59,98,Pr,59,0.1
158,70,88,Yb,70,0.1
158,69,89,Tm,69,0.1
158,71,87,Lu,71,0.1
158,72,86,Hf,72,0.1
158,60,98,Nd,60,0.1
158,61,97,Pm,61,0.1
158,63,95,Eu,63,0.1
158,68,90,Er,68,0.1
158,64,94,Gd,64,0.1
158,66,92,Dy,66,0.1
158,67,91,Ho,67,0.1
158,65,93,Tb,65,0.1
158,62,96,Sm,62,0.1
159,62,97,Sm,62,0.1
159,63,96,Eu,63,0.1
159,64,95,Gd,64,0.1
159,66,93,Dy,66,0.1
159,67,92,Ho,67,0.1
159,65,94,Tb,65,0.1
159,69,90,Tm,69,0.1
159,68,91,Er,68,0.1
159,60,99,Nd,60,0.1
159,61,98,Pm,61,0.1
159,71,88,Lu,71,0.1
159,73,86,Ta,73,0.1
159,72,87,Hf,72,0.1
159,70,89,Yb,70,0.1
160,63,97,Eu,63,0.1
160,74,86,W,74,0.1
160,70,90,Yb,70,0.1
160,68,92,Er,68,0.1
160,65,95,Tb,65,0.1
160,69,91,Tm,69,0.1
160,71,89,Lu,71,0.1
160,72,88,Hf,72,0.1
160,73,87,Ta,73,0.1
160,60,100,Nd,60,0.1
160,67,93,Ho,67,0.1
160,64,96,Gd,64,0.1
160,62,98,Sm,62,0.1
160,61,99,Pm,61,0.1
160,66,94,Dy,66,0.1
161,73,88,Ta,73,0.1
161,72,89,Hf,72,0.1
161,71,90,Lu,71,0.1
161,61,100,Pm,61,0.1
161,62,99,Sm,62,0.1
161,69,92,Tm,69,0.1
161,70,91,Yb,70,0.1
161,67,94,Ho,67,0.1
161,66,95,Dy,66,0.1
161,65,96,Tb,65,0.1
161,75,86,Re,75,0.1
161,64,97,Gd,64,0.1
161,63,98,Eu,63,0.1
161,68,93,Er,68,0.1
162,74,88,W,74,0.1
162,70,92,Yb,70,0.1
162,73,89,Ta,73,0.1
162,72,90,Hf,72,0.1
162,71,91,Lu,71,0.1
162,63,99,Eu,63,0.1
162,64,98,Gd,64,0.1
162,65,97,Tb,65,0.1
162,62,100,Sm,62,0.1
162,66,96,Dy,66,0.1
162,69,93,Tm,69,0.1
162,67,95,Ho,67,0.1
162,68,94,Er,68,0.1
163,74,89,W,74,0.1
163,75,88,Re,75,0.1
163,73,90,Ta,73,0.1
163,66,97,Dy,66,0.1
163,69,94,Tm,69,0.1
163,68,95,Er,68,0.1
163,67,96,Ho,67,0.1
163,65,98,Tb,65,0.1
163,72,91,Hf,72,0.1
163,64,99,Gd,64,0.1
163,63,100,Eu,63,0.1
163,62,101,Sm,62,0.1
163,70,93,Yb,70,0.1
163,71,92,Lu,71,0.1
164,62,102,Sm,62,0.1
164,63,101,Eu,63,0.1
164,70,94,Yb,70,0.1
164,69,95,Tm,69,0.1
164,68,96,Er,68,0.1
164,67,97,Ho,67,0.1
164,66,98,Dy,66,0.1
164,65,99,Tb,65,0.1
164,64,100,Gd,64,0.1
164,71,93,Lu,71,0.1
164,72,92,Hf,72,0.1
164,73,91,Ta,73,0.1
164,74,90,W,74,0.1
164,75,89,Re,75,0.1
164,76,88,Os,76,0.1
165,63,102,Eu,63,0.1
165,64,101,Gd,64,0.1
165,69,96,Tm,69,0.1
165,70,95,Yb,70,0.1
165,71,94,Lu,71,0.1
165,72,93,Hf,72,0.1
165,68,97,Er,68,0.1
165,65,100,Tb,65,0.1
165,66,99,Dy,66,0.1
165,67,98,Ho,67,0.1
165,73,92,Ta,73,0.1
165,74,91,W,74,0.1
165,75,90,Re,75,0.1
166,66,100,Dy,66,0.1
166,69,97,Tm,69,0.1
166,67,99,Ho,67,0.1
166,76,90,Os,76,0.1
166,73,93,Ta,73,0.1
166,74,92,W,74,0.1
166,75,91,Re,75,0.1
166,70,96,Yb,70,0.1
166,72,94,Hf,72,0.1
166,71,95,Lu,71,0.1
166,65,101,Tb,65,0.1
166,68,98,Er,68,0.1
166,64,102,Gd,64,0.1
167,66,101,Dy,66,0.1
167,64,103,Gd,64,0.1
167,72,95,Hf,72,0.1
167,65,102,Tb,65,0.1
167,67,100,Ho,67,0.1
167,77,90,Ir,77,0.1
167,74,93,W,74,0.1
167,73,94,Ta,73,0.1
167,76,91,Os,76,0.1
167,68,99,Er,68,0.1
167,69,98,Tm,69,0.1
167,70,97,Yb,70,0.1
167,71,96,Lu,71,0.1
168,73,95,Ta,73,0.1
168,72,96,Hf,72,0.1
168,75,93,Re,75,0.1
168,74,94,W,74,0.1
168,76,92,Os,76,0.1
168,77,91,Ir,77,0.1
168,78,90,Pt,78,0.1
168,71,97,Lu,71,0.1
168,70,98,Yb,70,0.1
168,67,101,Ho,67,0.1
168,66,102,Dy,66,0.1
168,69,99,Tm,69,0.1
168,68,100,Er,68,0.1
168,65,103,Tb,65,0.1
169,74,95,W,74,0.1
169,66,103,Dy,66,0.1
169,77,92,Ir,77,0.1
169,76,93,Os,76,0.1
169,71,98,Lu,71,0.1
169,72,97,Hf,72,0.1
169,75,94,Re,75,0.1
169,70,99,Yb,70,0.1
169,68,101,Er,68,0.1
169,73,96,Ta,73,0.1
169,69,100,Tm,69,0.1
169,67,102,Ho,67,0.1
170,72,98,Hf,72,0.1
170,68,102,Er,68,0.1
170,69,101,Tm,69,0.1
170,71,99,Lu,71,0.1
170,70,100,Yb,70,0.1
170,67,103,Ho,67,0.1
170,76,94,Os,76,0.1
170,78,92,Pt,78,0.1
170,74,96,W,74,0.1
170,75,95,Re,75,0.1
170,73,97,Ta,73,0.1
