redshift,distance_modulus,sigma_mu
0.24605,40.5938,0.0968
0.33549,41.2263,0.136
0.38337,41.6383,0.2332
0.32078,41.1991,0.1503
0.49677,42.1471,0.1618
0.39282,41.5171,0.206
0.90888,43.9813,0.1744
0.53378,42.6173,0.2676
0.53127,42.0988,0.1528
0.83066,43.3081,0.202
0.55502,43.421,280.1536
0.35763,41.8647,0.2009
0.15026,39.2151,0.1066
0.45565,41.9798,0.1434
0.57927,42.4823,0.19
0.22566,40.1768,0.1902
0.28063,40.7081,0.1249
0.32394,41.2424,0.1327
0.24517,40.3561,0.1215
0.35016,41.3327,0.1027
0.17053,39.2212,0.1267
0.34307,41.4693,0.1322
0.57093,42.743,0.2169
0.48342,42.1643,0.1252
0.3862,41.571,0.1641
0.22305,40.237,0.1897
0.76517,43.4719,0.1542
0.56017,42.1614,0.1998
0.48312,42.4648,0.1662
0.36834,41.2663,0.1298
0.54968,42.6753,0.1317
0.6368,42.7893,0.1302
0.22806,40.485,0.1855
0.45085,42.2732,0.2722
0.55513,42.5455,0.1541
0.33169,42.6221,192.592
0.28303,40.6531,0.1093
0.62139,42.9355,161.7507
0.21511,40.1906,0.0925
0.44628,42.3558,0.2478
0.26775,40.9014,0.1593
0.18216,39.8394,0.0937
0.16085,39.43,0.1073
0.69088,43.1058,0.1208
0.38323,41.3713,0.1726
0.27382,40.4565,0.1066
0.35843,41.5367,0.1243
0.64305,42.8515,0.1266
0.49292,42.1186,0.1564
0.78734,43.5819,0.1349
0.5277,42.667,0.1823
0.2786,40.795,0.2017
0.29461,40.8951,0.1769
0.96329,44.1241,0.217
0.66487,43.1281,0.2151
0.77725,43.3391,0.1509
0.85707,43.7874,0.2847
0.74658,43.4244,3.2613
0.87972,43.7911,0.1754
0.21898,40.3457,0.1946
0.66948,42.8645,0.1523
0.55146,42.372,0.2078
0.70099,43.0325,0.1836
0.81967,43.7992,0.1827
0.68428,42.9354,0.1228
0.62632,42.8405,0.1305
0.59788,42.7359,0.1251
0.43172,42.0586,0.6442
0.43398,41.7944,0.124
0.57349,42.6545,0.2004
0.52727,42.6778,0.1838
0.35484,41.5628,0.1267
0.5576,42.5625,0.1342
0.63033,42.9637,0.1993
0.82172,43.8632,0.1901
0.76679,43.5376,0.2042
0.77155,43.2732,0.1796
0.44647,41.895,0.152
0.55288,42.5418,0.1411
0.97242,44.1572,0.1627
0.60498,42.6863,0.1905
0.51956,43.0787,170.5973
0.8858,43.8139,0.5434
0.59692,42.7062,0.1335
0.54134,42.3056,0.1827
0.47767,42.3635,0.1867
0.43322,41.9047,0.1437
0.8133,43.7753,0.2951
0.95299,43.7132,0.1931
0.97489,44.1896,0.1992
0.98536,43.8586,0.1306
0.56059,42.4601,0.128
0.58026,42.6325,0.1444
0.45168,41.7507,0.1353
0.69277,43.171,0.2294
0.83583,43.7263,0.1658
0.92427,43.5635,0.1461
0.66666,42.8687,0.1444
0.46198,42.1247,0.1698
0.50134,42.291,0.1132
0.45332,41.8836,0.1725
0.31916,41.1241,0.1377
0.40349,42.0827,0.3062
0.43868,42.0601,0.2112
0.46154,41.9825,0.1404
0.57729,42.6576,0.182
0.16945,40.8158,257.7207
0.7138,43.3358,0.1642
0.36131,41.5774,0.2054
0.4467,41.8351,0.12
0.45412,42.202,0.2086
0.51969,42.4078,0.2362
0.90824,44.0508,0.1927
0.85652,43.6741,0.2434
0.8478,44.0342,0.3386
0.49276,41.9132,0.1372
0.19555,39.752,0.1027
0.84019,43.2586,224.7607
0.59079,42.5919,0.1563
0.533,42.8136,0.2211
0.53591,42.4175,0.1551
0.7615,43.5968,0.1643
0.49252,42.1722,0.1332
0.96689,44.13,0.1876
0.70417,43.065,0.1606
0.495,42.1559,0.1555
0.35129,41.4806,0.1334
0.79118,43.6354,0.203
0.50495,41.8933,0.1461
0.47065,42.1905,0.2038
0.39827,41.7911,0.2692
0.60551,42.8077,0.1475
0.4438,41.8077,0.1833
0.62411,42.9882,0.1648
0.64989,42.9365,0.2046
0.57675,42.5695,0.1643
1.0468,43.8593,0.1483
0.35561,41.3064,0.1413
0.58055,42.5281,0.1726
0.38137,41.482,0.1908
0.37202,41.6954,0.1543
0.66681,42.7643,0.1198
0.46877,42.0774,0.1546
0.45012,41.9104,0.2121
0.55536,42.6046,0.1913
0.60182,42.5522,0.1384
0.2801,40.8037,0.1104
0.58881,43.0539,0.2486
0.69107,43.4982,0.3638
0.36463,41.3256,0.2
0.91896,44.0256,0.274
0.81852,43.4751,0.2245
0.34311,41.2151,0.1944
0.95521,43.9062,0.2197
0.47803,42.0957,0.136
0.61939,42.8847,0.1769
0.33226,40.271,185.2355
0.5113,42.2034,0.1306
0.55626,42.4169,0.128
0.34548,41.3581,0.1122
0.68138,43.1657,0.1732
0.29438,41.0736,0.1816
0.43629,42.2472,0.2308
0.5565,42.3113,0.1495
0.35267,41.9941,15.4682
0.61943,42.6177,0.2308
0.47982,41.9718,0.1545
0.58576,42.6951,0.1753
0.44084,41.9277,0.1079
0.35284,41.4972,0.1601
0.33743,41.1332,0.1758
0.38684,41.609,0.1359
0.35177,41.2499,0.1165
0.4733,42.0584,0.1597
0.37001,41.3201,172.2755
0.58817,42.4801,0.17
0.5256,42.4068,0.1933
0.65434,42.9527,0.1309
1.02433,43.9335,172.6372
0.4841,42.3096,0.1721
0.33257,41.0836,0.127
0.21136,40.1145,0.166
0.40361,41.701,0.1609
0.59401,42.3694,0.2308
0.22953,40.0575,0.1105
0.52211,42.3563,0.127
0.74535,43.1594,0.1789
0.33389,41.0423,0.2046
0.84094,43.561,0.2565
0.18383,39.7886,0.0939
0.47598,42.1705,0.2238
0.64421,42.8967,0.1647
0.61393,42.7113,0.1531
0.29648,40.8458,0.1298
0.45831,42.1187,0.1626
0.36656,41.4013,0.1242
0.62518,42.8835,0.1683
0.51689,42.5448,0.2008
0.62104,42.9111,0.1852
0.50509,42.3312,0.1877
0.47616,41.9875,0.1771
0.52473,42.1302,0.1682
0.52105,42.3656,0.2016
0.61445,43.0487,0.2438
0.49383,42.0261,0.1921
0.82394,43.794,0.2506
0.5975,42.4782,0.2418
0.54947,42.3459,0.1642
0.34918,41.3692,0.1552
0.42593,41.8274,0.1285
0.5279,42.3011,0.1992
0.22284,40.082,0.1701
0.60243,42.8935,0.219
0.21986,39.9721,0.1583
0.30477,40.9722,0.1086
0.56161,42.3576,0.1464
0.3271,41.2275,0.0913
0.51244,42.3698,0.1431
0.56751,42.4527,0.1336
0.56401,42.6607,0.1553
0.32008,41.0766,0.1611
0.65871,43.2686,0.2009
0.53232,42.3311,0.1646
0.5506,42.7092,0.1764
0.45811,41.9397,0.1416
0.27279,40.6647,0.1081
0.38948,41.1509,0.1936
0.6941,43.0773,0.1368
0.42982,41.806,0.2459
0.35469,41.2955,0.2203
0.43034,41.9365,0.2068
0.33336,41.2026,0.1217
0.8175,43.4706,0.154
0.85674,43.3903,0.1759
0.85855,43.6566,0.2353
0.62024,42.8792,0.2124
0.74133,43.3982,0.1709
0.55236,42.2512,0.1541
0.27437,40.7403,0.1707
0.53806,42.4295,0.2034
0.55534,42.4185,0.1453
0.59141,42.5678,0.2241
0.67405,43.0399,0.165
0.52885,42.4106,0.16
0.41568,41.661,0.1547
0.69873,43.0747,0.16
0.61069,42.7008,0.1649
0.61854,42.7152,0.2911
0.47377,42.143,0.1897
0.66147,42.9267,0.1387
0.19246,39.9331,0.1887
0.53166,42.3417,0.1387
0.59789,42.4576,0.2049
0.52723,42.3711,0.1225
0.62162,42.8978,0.1529
0.35211,41.1448,0.1317
0.32214,40.9742,0.1132
0.65387,42.8388,0.1606
0.26523,40.8743,0.2063
0.27963,40.8866,0.2119
0.46694,42.0434,0.1236
0.58072,42.7608,0.1876
0.4536,42.1695,0.1665
0.11323,39.0697,0.7632
0.33802,41.1919,0.1137
0.38328,41.5092,0.1312
0.3352,42.162,5.323
0.46949,42.51,0.2578
0.26103,41.0566,2.3192
0.45294,41.9758,0.1851
0.56215,42.1856,0.2118
0.29209,40.8536,0.1109
0.23747,40.4289,0.1419
0.40644,41.8844,0.3265
0.25378,40.2737,0.1442
0.52929,42.275,0.1803
0.23079,40.309,0.1382
0.61343,43.0689,0.2136
0.70548,42.9813,0.2449
0.77692,43.0528,331.7325
0.65514,42.9161,0.1656
0.50827,42.0564,0.1302
0.65206,42.7438,0.1453
1.02868,44.1989,0.1779
0.68017,42.814,0.2143
0.72737,43.3653,0.1664
0.33778,41.0213,0.1495
0.45799,42.4863,0.3065
0.31251,41.0799,0.1148
0.58276,42.6372,0.2154
0.29185,40.8492,0.1241
1.0642,44.1596,0.1598
0.75729,43.4259,0.4507
0.5007,42.3163,0.1978
0.66083,43.0246,0.2038
0.69783,43.353,0.219
0.43578,42.0993,0.2407
0.49523,42.2009,0.2156
0.66362,42.8608,0.1657
0.4246,42.0414,0.119
0.54397,42.2074,0.1414
0.33054,41.3308,0.1336
0.56459,42.8556,0.2106
0.42749,41.5519,1.1983
0.49572,42.2782,0.2281
0.31075,40.8746,0.1398
0.44841,41.66,0.1841
0.36027,41.3354,0.1403
0.6811,42.9215,0.169
0.55299,42.1721,0.1747
0.73162,43.2327,0.2173
0.50394,42.1735,0.174
0.55214,42.6065,0.2201
0.34689,41.1132,0.1381
0.42981,41.4572,0.2086
0.44472,41.8635,0.1778
0.47304,41.9875,0.1786
1.05303,44.2966,0.1985
0.31752,41.2899,0.1269
0.68332,43.0277,0.1543
0.68397,42.9853,0.2451
0.60311,42.49,0.2551
0.36021,41.5962,0.2559
0.79939,43.4355,0.2261
0.42029,41.9824,0.1673
0.70978,43.4205,0.1994
0.39876,41.8982,0.3428
0.58574,42.5994,0.1948
0.3616,41.4437,0.2152
0.29358,40.9757,0.1202
0.4982,42.3312,0.2297
0.3293,42.1274,177.0168
0.57039,42.4059,0.174
0.62318,42.7798,0.0466
0.79511,43.3341,0.1623
0.18937,39.9615,0.1402
0.40188,41.5317,0.1916
0.23212,40.3565,0.1071
0.35329,41.5401,0.1362
0.1494,39.2893,0.0975
0.68179,43.045,0.2107
0.34602,41.2938,0.136
0.69313,43.0442,0.1998
0.43369,41.9614,0.1616
0.72199,42.8993,0.3072
0.27237,40.7101,0.1209
0.34799,41.4858,0.2051
0.32321,40.9118,0.2292
0.25692,40.4844,0.1554
0.49412,42.2039,0.2237
0.2347,40.3975,0.1202
0.56528,42.4454,0.1805
0.69938,43.5927,0.2794
0.77082,43.4997,0.1726
0.05962,37.3523,0.1374
0.49219,42.7013,0.3553
0.62617,43.1169,0.2308
0.68399,42.9619,0.2694
0.63211,42.819,0.2114
0.68056,42.7794,0.2554
0.73899,43.3168,0.2079
0.19902,39.9821,0.1956
0.65195,42.5141,0.1354
0.30697,41.0115,0.1129
0.57821,42.7633,0.1788
0.50547,42.2005,0.1918
0.38393,41.4986,0.1686
0.42376,41.6877,0.1593
0.21781,40.3022,0.1457
0.64685,42.8506,0.1637
0.37797,41.4595,0.1696
0.58012,42.5347,0.1689
0.38353,41.452,0.227
0.20753,40.1748,0.1012
0.56536,42.3917,0.1713
0.31286,41.1292,0.1184
0.14631,39.4609,0.1699
0.54888,42.403,219.9254
0.36862,41.543,0.2311
0.65483,42.8146,0.1554
0.40512,41.7484,0.1409
0.56441,42.4416,0.1504
0.48417,42.3887,0.3686
0.66296,42.7595,0.1943
0.5228,42.3697,0.1385
0.33681,41.4118,0.2077
0.65718,42.807,0.1863
0.23048,40.2144,0.1304
0.29001,40.8474,0.1702
0.54268,42.567,0.1648
0.37769,42.0661,1.1497
0.61207,42.5428,0.2053
0.56173,42.3118,0.1518
0.41962,41.9066,0.1979
0.25907,40.2411,0.1334
0.53582,42.6863,0.1919
0.70875,43.4183,0.2142
0.38495,41.0344,0.1777
0.11621,41.4153,188.5074
0.43112,41.7775,0.2158
0.73488,43.2424,0.1893
0.7953,43.3569,0.2347
0.59506,42.3802,0.1949
0.59909,42.4098,0.2052
0.57153,42.4885,0.2112
0.67528,43.0985,0.2875
0.21847,40.374,0.1398
0.5368,42.3279,0.1843
0.2811,40.4253,0.2597
0.54352,42.2857,0.1306
0.29199,40.8719,0.1153
0.47819,42.0383,0.2003
0.23057,42.3377,239.4149
0.51089,42.0253,0.1465
0.53976,42.4047,0.2013
0.27905,40.9033,0.207
0.35021,41.2415,0.2467
0.2977,40.7045,0.1403
0.34721,41.1346,0.1501
0.37228,41.2427,0.1674
0.31268,41.6168,221.2396
0.54784,42.0456,0.4182
0.39821,41.8191,0.172
0.384,41.7518,0.2541
0.39512,41.6591,0.1566
0.37143,41.4071,0.1357
0.32472,41.2352,0.1467
0.16897,40.4502,137.17
0.49245,42.413,0.2423
0.29186,40.7897,0.1595
0.27265,40.6888,0.1075
0.23355,40.253,0.1619
0.22482,40.2604,0.1011
0.30893,40.9941,0.1572
0.34565,41.3178,0.1196
0.41447,41.7193,0.2145
0.50436,42.3172,0.2221
0.75366,43.2984,0.3295
0.60736,42.858,0.205
0.30179,41.8215,28.9924
0.29686,40.8982,0.1489
0.3204,41.2714,0.1504
0.49801,42.3299,0.3206
0.14812,39.3442,0.093
0.32874,41.1511,0.1723
0.42857,41.8685,0.1245
0.81325,43.3334,0.1431
0.50492,42.2792,0.1232
0.47085,41.8283,0.293
0.36087,41.1865,0.1595
0.36798,41.4873,0.1519
0.33828,41.2872,0.1391
0.62818,42.8742,0.2031
0.31257,41.0447,0.2078
0.52535,42.3759,0.1649
0.30246,40.3838,2.9257
0.58822,42.9911,0.1827
0.33386,41.4857,0.1684
0.42561,41.748,0.1458
0.54436,42.7236,0.1985
0.5325,42.6333,0.1731
0.52513,42.3179,0.1227
0.86179,43.8826,0.2904
0.34886,41.207,0.1217
0.29584,42.4532,209.2092
0.68363,42.8985,0.1745
0.88491,43.5374,0.2103
0.8727,43.7612,0.445
0.35631,41.2975,0.1201
0.55929,42.5561,0.2992
0.67098,42.9858,0.2535
0.74855,43.3972,0.2731
0.86243,43.7957,0.2342
0.65763,42.6922,0.2735
0.18443,40.0484,0.1675
0.14624,39.3371,0.1136
0.64852,42.9702,0.1425
0.64392,42.9341,0.1513
0.74392,43.1073,0.1876
0.67698,43.0717,0.2039
0.48813,42.1856,0.1525
0.25854,40.5872,0.1179
0.53387,42.7026,0.2436
0.43516,41.9523,0.1761
0.65045,43.0382,0.1843
0.73069,43.04,0.1742
0.54888,42.5247,0.1638
0.33479,41.3386,0.2094
0.54402,42.1596,0.1495
0.34316,42.7317,234.9624
0.60981,42.5374,0.2011
0.27784,41.0082,0.1379
0.73677,43.213,0.2113
0.21492,39.7845,0.1918
0.86461,43.4828,0.2368
0.63561,43.066,0.1808
0.46256,41.8654,0.1254
0.28513,40.8949,0.1148
0.26048,40.7395,0.1477
0.60946,42.5718,0.1527
0.4893,42.237,0.2617
0.47792,42.301,0.1789
0.6096,43.0466,0.2094
0.19616,39.9524,0.1222
0.69226,43.1393,0.1433
0.68339,43.1012,0.134
0.69836,43.1146,0.1922
0.80109,43.3671,0.1623
0.91289,43.9048,0.1819
0.98158,43.8412,0.1293
0.59158,42.8575,0.1576
0.29498,43.9515,252.5868
0.37677,41.477,0.1275
0.73065,43.2175,0.1436
0.36571,41.3446,0.1981
0.47241,42.1088,0.1804
0.16008,39.1271,0.1753
0.38131,41.5043,0.181
0.41357,41.6791,0.1763
0.61843,43.0581,0.2378
0.40925,41.564,0.1775
0.31722,41.1348,0.1445
0.26765,40.6639,0.1151
0.48485,42.1017,0.1578
0.51413,42.5672,0.238
0.31042,40.6915,0.2175
0.40031,41.519,0.1757
0.58454,42.85,0.1807
0.65633,42.7723,0.1184
0.29571,41.0331,0.1632
0.81684,43.3324,0.1575
0.33779,41.194,0.1958
0.71139,43.1318,0.1418
0.46754,42.1704,0.1641
0.60955,43.0554,0.1758
0.62043,43.1038,0.2219
0.32959,41.2585,0.0971
0.34304,41.6089,0.2128
0.41527,41.7516,0.1262
0.74899,43.2671,0.1547
0.54327,42.8166,0.2138
0.58845,42.6482,0.2054
0.45351,42.2788,0.2687
0.49238,42.3081,0.2052
0.29156,40.8596,0.1046
0.73717,43.4571,0.2459
0.21942,39.9419,0.1823
0.34895,41.317,0.15
0.87001,43.3385,0.1882
0.53042,42.6084,0.1787
0.57193,42.5533,0.1312
0.25308,40.4772,0.1673
0.76495,43.3531,314.7
0.4778,42.2258,0.1456
0.42391,41.8514,0.1104
0.75249,43.1155,0.1679
0.52716,42.1239,0.1622
0.5874,42.6501,0.1338
0.20268,40.7695,53.1158
0.23171,40.1519,0.1735
1.02836,44.2698,1.0593
0.79229,43.3874,0.1326
0.64527,43.183,0.1556
0.67783,42.9998,0.1642
0.62618,43.1653,0.1831
0.35921,41.3793,0.1332
0.58838,42.8256,0.2522
0.49592,42.4705,0.143
0.52562,42.2135,0.1282
0.32869,41.6049,0.2179
0.77159,43.6303,0.2651
0.60491,42.9177,0.2655
0.47429,42.0807,0.2013
0.65274,43.4184,0.251
0.17978,39.6975,0.1488
0.66788,42.8951,0.1457
0.81825,43.6748,0.1582
0.79547,43.2692,0.1773
1.02468,44.3153,0.2017
0.65241,42.9442,0.141
0.77004,43.3362,0.1438
0.25904,40.5093,0.135
0.68455,43.2822,0.1887
0.56262,42.5951,0.1521
0.63502,42.7559,0.1698
0.45354,42.0796,0.164
0.76177,43.5023,0.1703
0.21711,40.152,0.1763
0.42989,41.6887,0.1082
0.51882,42.5169,0.2498
0.52971,42.2896,0.1329
0.75421,43.4228,0.1803
0.58126,42.6406,0.1548
0.21883,40.1327,0.1083
0.40476,41.6306,0.138
0.55993,42.4586,0.1291
0.74126,43.4891,0.1761
0.65866,42.9716,0.15
0.29887,41.0895,0.1462
0.61633,43.0185,0.1641
0.25286,40.733,0.2032
0.68972,43.2186,0.1415
0.49263,42.2933,0.2645
0.61935,42.7499,0.1564
0.89888,43.6493,0.1497
0.49559,42.2792,0.1417
0.83293,43.4845,0.1317
