Z,A_drip,N_drip,tension_ratio,c2_c1,family,N_mode
2.0,3.0,1.0,0.33159872075935415,0.22991771159874608,A,-2
3.0,3.0,0.0,0.3134966932316303,0.2173664667237932,A,-3
4.0,5.0,1.0,0.371691429711787,0.2173664667237932,A,-3
5.0,6.0,1.0,0.39498108287496664,0.2173664667237932,A,-3
6.0,8.0,2.0,0.4347329334475864,0.2173664667237932,A,-3
7.0,10.0,3.0,0.4683018563594012,0.2173664667237932,A,-3
8.0,11.0,3.0,0.4834186943511136,0.2173664667237932,A,-3
9.0,13.0,4.0,0.5111013131549547,0.2173664667237932,A,-3
10.0,15.0,5.0,0.536071804788771,0.2173664667237932,A,-3
11.0,17.0,6.0,0.5589103943133154,0.2173664667237932,A,-3
12.0,19.0,7.0,0.5800210381826335,0.2173664667237932,A,-3
13.0,21.0,8.0,0.5996976001788153,0.2173664667237932,A,-3
14.0,22.0,8.0,0.35678977663325995,0.12733218007679004,B,2
15.0,24.0,9.0,0.36728956400411195,0.12733218007679004,B,2
16.0,26.0,10.0,0.3772210828592298,0.12733218007679004,B,2
17.0,28.0,11.0,0.38665549378606656,0.12733218007679004,B,2
18.0,29.0,11.0,0.3753680620398026,0.12217752378321449,B,1
19.0,31.0,12.0,0.38380610936967924,0.12217752378321449,B,1
20.0,33.0,13.0,0.391888601888542,0.12217752378321449,B,1
21.0,35.0,14.0,0.39965078190953807,0.12217752378321449,B,1
22.0,37.0,15.0,0.4071226145304204,0.12217752378321449,B,1
23.0,39.0,16.0,0.41432981673277247,0.12217752378321449,B,1
24.0,41.0,17.0,0.42129464389655125,0.12217752378321449,B,1
25.0,43.0,18.0,0.42803649984496644,0.12217752378321449,B,1
26.0,45.0,19.0,0.434572416303691,0.12217752378321449,B,1
27.0,47.0,20.0,0.44091743423563007,0.12217752378321449,B,1
28.0,48.0,20.0,0.42594808829611547,0.11720413327995985,B,0
29.0,52.0,23.0,0.45602897063315273,0.12217752378321449,B,1
30.0,54.0,24.0,0.4618021021155103,0.12217752378321449,B,1
31.0,56.0,25.0,0.46743439015765237,0.12217752378321449,B,1
32.0,58.0,26.0,0.47293412282219205,0.12217752378321449,B,1
33.0,60.0,27.0,0.4588386687889575,0.11720413327995985,B,0
34.0,63.0,29.0,0.48615135665253245,0.12217752378321449,B,1
35.0,65.0,30.0,0.49124231699579773,0.12217752378321449,B,1
36.0,67.0,31.0,0.47603022488760316,0.11720413327995985,B,0
37.0,71.0,34.0,0.5059148590620673,0.12217752378321449,B,1
38.0,73.0,35.0,0.5106213140639885,0.12217752378321449,B,1
39.0,75.0,36.0,0.5152425726222222,0.12217752378321449,B,1
40.0,77.0,37.0,0.4986239896906532,0.11720413327995985,B,0
41.0,79.0,38.0,0.5029042332922193,0.11720413327995985,B,0
42.0,81.0,39.0,0.5071128325838229,0.11720413327995985,B,0
43.0,83.0,40.0,0.5112527123537968,0.11720413327995985,B,0
44.0,85.0,41.0,0.5153266109049094,0.11720413327995985,B,0
45.0,88.0,43.0,0.5213193178941264,0.11720413327995985,B,0
46.0,90.0,44.0,0.5252391591969305,0.11720413327995985,B,0
47.0,92.0,45.0,0.5074255687819937,0.11240261233960416,B,-1
48.0,94.0,46.0,0.5110762379600706,0.11240261233960416,B,-1
49.0,96.0,47.0,0.514675484981383,0.11240261233960416,B,-1
50.0,99.0,49.0,0.5199817918849751,0.11240261233960416,B,-1
51.0,102.0,51.0,0.5251819547765119,0.11240261233960416,B,-1
52.0,104.0,52.0,0.528592322769081,0.11240261233960416,B,-1
53.0,106.0,53.0,0.5319592436265401,0.11240261233960416,B,-1
54.0,108.0,54.0,0.5352840752155841,0.11240261233960416,B,-1
55.0,111.0,56.0,0.5401952126197155,0.11240261233960416,B,-1
56.0,113.0,57.0,0.5209955369815179,0.10776420313032536,B,-2
57.0,116.0,59.0,0.5481874236021759,0.11240261233960416,B,-1
58.0,119.0,61.0,0.5528730134280931,0.11240261233960416,B,-1
59.0,121.0,62.0,0.5330111719346046,0.10776420313032536,B,-2
60.0,124.0,64.0,0.5605103458051516,0.11240261233960416,B,-1
61.0,126.0,65.0,0.5402540570163642,0.10776420313032536,B,-2
62.0,128.0,66.0,0.5430975517961756,0.10776420313032536,B,-2
63.0,130.0,67.0,0.5459115789833846,0.10776420313032536,B,-2
64.0,133.0,69.0,0.550079004230158,0.10776420313032536,B,-2
65.0,135.0,70.0,0.5528225857969139,0.10776420313032536,B,-2
66.0,138.0,72.0,0.5568876037379874,0.10776420313032536,B,-2
67.0,140.0,73.0,0.536284596440559,0.10328073290432352,B,-3
68.0,142.0,74.0,0.5388262675690746,0.10328073290432352,B,-3
69.0,144.0,75.0,0.541344183893187,0.10328073290432352,B,-3
70.0,148.0,78.0,0.5463109217303925,0.10328073290432352,B,-3
71.0,150.0,79.0,0.5487607792611991,0.10328073290432352,B,-3
72.0,153.0,81.0,0.5523950625202274,0.10328073290432352,B,-3
73.0,155.0,82.0,0.5547916003901234,0.10328073290432352,B,-3
83.0,184.0,101.0,0.5874333319229493,0.10328073290432352,B,-3
85.0,191.0,106.0,0.5947901487429643,0.10328073290432352,B,-3
86.0,193.0,107.0,0.59685900070048,0.10328073290432352,B,-3
87.0,197.0,110.0,0.6009542162672652,0.10328073290432352,B,-3
88.0,201.0,113.0,0.6312574853995588,0.10776420313032536,B,-2
89.0,205.0,116.0,0.6354174570726265,0.10776420313032536,B,-2
90.0,208.0,118.0,0.6385020561772842,0.10776420313032536,B,-2
91.0,211.0,120.0,0.6415571364553763,0.10776420313032536,B,-2
92.0,215.0,123.0,0.6455858582729606,0.10776420313032536,B,-2
93.0,219.0,126.0,0.6775236242700643,0.11240261233960416,B,-1
94.0,221.0,127.0,0.6515362937951823,0.10776420313032536,B,-2
95.0,223.0,128.0,0.6534958132441377,0.10776420313032536,B,-2
96.0,231.0,135.0,0.7191402348763102,0.11720413327995985,B,0
97.0,233.0,136.0,0.6916637979876123,0.11240261233960416,B,-1
98.0,237.0,139.0,0.72531341437148,0.11720413327995985,B,0
99.0,239.0,140.0,0.6975505814603337,0.11240261233960416,B,-1
100.0,241.0,141.0,0.6994909268698156,0.11240261233960416,B,-1
101.0,244.0,143.0,0.702381418081866,0.11240261233960416,B,-1
102.0,248.0,146.0,0.7061987833637651,0.11240261233960416,B,-1
103.0,251.0,148.0,0.7090349534911211,0.11240261233960416,B,-1
104.0,253.0,149.0,0.7109132005536635,0.11240261233960416,B,-1
105.0,255.0,150.0,0.7127815749815567,0.11240261233960416,B,-1
106.0,258.0,152.0,0.6860373444368721,0.10776420313032536,B,-2
107.0,260.0,153.0,0.6878054897425139,0.10776420313032536,B,-2
108.0,263.0,155.0,0.6904407855594048,0.10776420313032536,B,-2
109.0,265.0,156.0,0.6921865345468681,0.10776420313032536,B,-2
110.0,267.0,157.0,0.6650532164993169,0.10328073290432352,B,-3
111.0,272.0,161.0,0.6982283684325319,0.10776420313032536,B,-2
112.0,276.0,164.0,0.7016344143750053,0.10776420313032536,B,-2
113.0,278.0,165.0,0.7033251062475033,0.10776420313032536,B,-2
114.0,284.0,170.0,0.7388379332120293,0.11240261233960416,B,-1
115.0,287.0,172.0,0.7414303682534701,0.11240261233960416,B,-1
116.0,289.0,173.0,0.7124818455790174,0.10776420313032536,B,-2
117.0,291.0,174.0,0.7141216254608572,0.10776420313032536,B,-2
118.0,293.0,175.0,0.7157539091406707,0.10776420313032536,B,-2
